Name,Remarks
Glorfindel,"An Elf-lord and friend of Aragorn. Glorfindel, who lives in Rivendell, attends the Council of Elrond, which is called to determine what should be done with the Ring."
Erestor,"Another Elf-lord who attends the Council of Elrond. Erestor suggests that the Ring be given to Tom Bombadil, over whom it has no power; the others at the Council, however, worry that even Bombadil could not single-handedly defeat Sauron."
Haldir,The leader of the group of Elves who halt the Fellowship’s entry into the forest of Lothlórien. Haldir then leads the Fellowship into the heart of the forest to meet Galadriel.
Bilbo Baggins,"The hero of The Hobbit and Frodo’s cousin and mentor. Bilbo is clever and loves a good joke or song. The effects of having kept the Ring for so long only occasionally mar his thoughtfulness. Bilbo is an object of curiosity in the Shire for his learning and his wandering ways, and he is trying to write a book detailing his many adventures."
Lobelia Sackville-Baggins,A relative of Bilbo who buys Bag End from Frodo when he leaves the Shire to go on his quest. The disagreeable Lobelia has been trying to get her hands on the house at Bag End for some time.
Fredegar (Fatty) Bolger,A friend of Merry who helps the hobbits move Frodo’s things to his new house across the Brandywine River. Fatty stays behind at the house to keep up the pretense that Frodo still lives in the Shire.
Ham Gamgee (the Gaffer),"Sam’s father, who lives next door to Bag End. Just before Frodo leaves the Shire, the Gaffer is visited by one of the Ringwraiths, which asks him about the whereabouts of a Mr. Baggins."
Farmer Maggot,"A farmer who drives Frodo and company to the Brandywine River ferry in his wagon. Farmer Maggot once caught Frodo stealing his mushrooms, so Frodo is afraid of him."
Barliman Butterbur,"The innkeeper at the Prancing Pony in Bree. Though a forgetful fellow, Butterbur does finally remember to deliver Gandalf’s letter to Frodo when the hobbit passes through Bree."
Tom Bombadil,"A jovial, mysterious, and powerful being who dances around his small realm, singing songs in doggerel. Tom is extremely old, perhaps immortal, and his origins are unknown. He has great power and is deeply connected to the earth, but he is unconcerned with the world outside his realm."
Goldberry,Tom Bombadil’s wife. Goldberry has a presence that moves Frodo in a way similar to that of the Elves.
Glóin,"Gimli’s father. Glóin, one of the Dwarves who traveled with Bilbo on the adventures that take place in The Hobbit, is present at the Council of Elrond where the Fellowship is established."
"Gwaihir, the Windlord","The swiftest of the Great Eagles, who rescues Gandalf from the top of Orthanc and takes the wizard to Rohan."
Shadowfax,"The swiftest of all horses, whom Gandalf tames for his own use."
Gil-galad,"An ancient Elven-king who fought in a climactic battle against Sauron ages ago. Gil-galad was killed in the battle, in which Sauron lost the One Ring at Isildur’s hand."
Elendil,"An ancient king of Westernesse who allied his armies with Gil-galad’s to take on Sauron. Elendil, an ancestor of Aragorn’s line, was killed along with Gil-galad in the battle."
Isildur,"The eldest son and heir of Elendil. In the great battle against Sauron in ancient times, Isildur cut the One Ring from Sauron’s hand, but then lost the Ring in the Great River, Anduin."
